Experiment,Treatment,Rep,Temperature,Week,pam
Summer,ND,1,22,5,0.544
Summer,ND,2,22,5,0.224
Summer,ND,3,22,5,0.496
Summer,FL,1,22,5,0.333
Summer,FL,2,22,5,0.384
Summer,FL,3,22,5,0.492
Summer,FS,1,22,5,0.342
Summer,FS,2,22,5,0.225
Summer,FS,3,22,5,0.416
Summer,MS,1,22,5,0.351
Summer,MS,2,22,5,0.376
Summer,MS,3,22,5,0.367
Summer,MM,1,22,5,0.47
Summer,MM,2,22,5,0.274
Summer,MM,3,22,5,0.247
Summer,HD,1,22,5,0.502
Summer,HD,2,22,5,0.536
Summer,HD,3,22,5,0.431
Summer,ND,1,26,5,0.383
Summer,ND,2,26,5,0.32
Summer,ND,3,26,5,0.415
Summer,FL,1,26,5,0.384
Summer,FL,2,26,5,0.335
Summer,FL,3,26,5,0.23
Summer,FS,1,26,5,0.312
Summer,FS,2,26,5,0.226
Summer,FS,3,26,5,0.29
Summer,MS,1,26,5,0.55
Summer,MS,2,26,5,0.281
Summer,MS,3,26,5,0.385
Summer,MM,1,26,5,0.421
Summer,MM,2,26,5,0.292
Summer,MM,3,26,5,0.341
Temp,,1,26,1,0.544
Temp,,2,26,1,0.481
Temp,,3,26,1,0.644
Temp,,1,29,1,0.521
Temp,,2,29,1,0.428
Temp,,3,29,1,0.352
Temp,,1,31,1,0.433
Temp,,2,31,1,0.402
Temp,,3,31,1,0.392
Temp,,1,33,1,0.292
Temp,,2,33,1,0.362
Temp,,3,33,1,0.416
Temp,,2,26,2,0.457
Temp,,3,26,2,0.32
Temp,,1,29,2,0.522
Temp,,2,29,2,0.38
Temp,,3,29,2,0.487
Temp,,1,31,2,0.68
Temp,,2,31,2,0.356
Temp,,3,31,2,0.457
Temp,,1,33,2,0.594
Temp,,2,33,2,0.357
Temp,,3,33,2,0.306
Temp,,1,26,3,0.546
Temp,,2,26,3,0.691
Temp,,3,26,3,0.425
Temp,,1,29,3,0.473
Temp,,2,29,3,0.411
Temp,,3,29,3,0.408
Temp,,1,31,3,0.461
Temp,,2,31,3,0.627
Temp,,3,31,3,0.407
Temp,,1,33,3,0.75
Temp,,2,33,3,0.494
Temp,,3,33,3,0.419
Temp,,1,26,4,0.6
Temp,,2,26,4,0.506
Temp,,3,26,4,0.564
Temp,,1,29,4,0.595
Temp,,2,29,4,0.38
Temp,,3,29,4,0.455
Temp,,1,31,4,0.565
Temp,,2,31,4,0.538
Temp,,3,31,4,0.477
Temp,,1,33,4,0.413
Temp,,2,33,4,0.344
Temp,,3,33,4,0.362
Temp,,1,26,5,0.679
Temp,,2,26,5,0.561
Temp,,3,26,5,0.558
Temp,,1,29,5,0.602
Temp,,2,29,5,0.469
Temp,,3,29,5,0.545
Temp,,1,31,5,0.611
Temp,,2,31,5,0.519
Temp,,3,31,5,0.514
Temp,,1,33,5,0.44
Temp,,2,33,5,0.339
Temp,,3,33,5,0.392
Field,Internal ,1,,,0.291
Field,Internal ,2,,,0.632
Field,Internal ,3,,,0.206
Field,Internal ,4,,,0.633
Field,Internal ,5,,,0.253
Field,Internal ,6,,,0.0454
Field,Internal ,7,,,0.246
Field,Internal ,8,,,0.391
Field,External,1,,,0.508
Field,External,2,,,0.298
Field,External,3,,,0.438
Field,External,4,,,0.366
Field,External,5,,,0.515